date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:18:42	258961/258961	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Jun%202022%2002:18:41%20GMT	https://www.tristanparker.co.uk/wp-json/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-json/index.html	(from https://www.tristanparker.co.uk/)
06:18:43	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2008%20Jun%202022%2002:18:42%20GMT	https://www.tristanparker.co.uk/xmlrpc.php?rsd	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/xmlrpc.1d0db0.delayed	(from https://www.tristanparker.co.uk/)
06:18:43	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-5d552f25711a7%22	https://www.tristanparker.co.uk/wp-includes/wlwmanifest.xml	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-includes/wlwmanifest.xml	(from https://www.tristanparker.co.uk/)
06:18:45	2759/2759	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Jun%202022%2002:18:44%20GMT	https://www.tristanparker.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.tristanparker.co.uk%2F	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-json/oembed/1.0/embed2d8f.json	(from https://www.tristanparker.co.uk/)
06:18:46	155/155	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jun%202022%2002:18:45%20GMT	http://iptrack.io/api/v1/wiv.js	/Users/ibrahimyasir/Documents/new/portfolio/iptrack.io/api/v1/wiv.21.delayed	(from https://www.tristanparker.co.uk/)
06:18:46	2850/2850	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Jun%202022%2002:18:45%20GMT	https://www.tristanparker.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.tristanparker.co.uk%2F&format=xml	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-json/oembed/1.0/embed256a	(from https://www.tristanparker.co.uk/)
06:18:47	2552/2552	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Jun%202022%2002:18:46%20GMT	https://iptrack.io/api/v1/wiv.js	/Users/ibrahimyasir/Documents/new/portfolio/iptrack.io/api/v1/wiv.js	(from https://www.tristanparker.co.uk/)
06:18:48	818/818	---M--	200	added ('OK')	image/png	etag:%2261ee7248-332%22	https://www.tristanparker.co.uk/wp-content/uploads/2022/01/cropped-pdm-icon-32x32.png	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/2022/01/cropped-pdm-icon-32x32.png	(from https://www.tristanparker.co.uk/)
06:18:49	5123/5123	---M--	200	added ('OK')	image/png	etag:%2262024b9a-1403%22	https://www.tristanparker.co.uk/wp-content/uploads/2022/01/cropped-pdm-icon-192x192.png	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/2022/01/cropped-pdm-icon-192x192.png	(from https://www.tristanparker.co.uk/)
06:18:50	5826/5826	---M--	200	added ('OK')	image/png	etag:%2262024b9a-16c2%22	https://www.tristanparker.co.uk/wp-content/uploads/2022/01/cropped-pdm-icon-180x180.png	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/2022/01/cropped-pdm-icon-180x180.png	(from https://www.tristanparker.co.uk/)
